15,0,[ 1  3  5  7  8 10 12 15 16 18 20 22 24 26 28 30 32 34 36]
18,0,[ 1  3  5  7  8 10 12 15 16 18 20 22 24 26 28 30 32 34 36]
21,0,[ 1  3  5  7  8 10 12 15 16 18 20 22 24 26 28 30 32 34 36]
27,0,[ 1  3  5  7  8 10 12 15 16 18 20 22 24 26 28 30 32 34 36]
32,0,[ 1  3  5  7  8 10 12 15 16 18 20 22 24 26 28 30 32 34 36]
33,0,[ 1  3  5  7  8 10 12 15 16 18 20 22 24 26 28 30 32 34 36]
44,0,[ 1  3  5  7  8 10 12 15 16 18 20 22 24 26 28 30 32 34 36]
50,0,[ 1  3  5  7  8 10 12 15 16 18 20 22 24 26 28 30 32 34 36]
54,0,[ 1  3  5  7  8 10 12 15 16 18 20 22 24 26 28 30 32 34 36]
68,0,[ 1  3  5  7  8 10 12 15 16 18 20 22 24 26 28 30 32 34 36]
76,0,[ 1  3  5  7  8 10 12 15 16 18 20 22 24 26 28 30 32 34 36]
82,0,[ 1  3  5  7  8 10 12 15 16 18 20 22 24 26 28 30 32 34 36]
89,0,[ 1  3  5  7  8 10 12 15 16 18 20 22 24 26 28 30 32 34 36]
90,0,[ 1  3  5  7  8 10 12 15 16 18 20 22 24 26 28 30 32 34 36]
93,0,[ 1  3  5  7  8 10 12 15 16 18 20 22 24 26 28 30 32 34 36]
112,0,[ 1  3  5  7  8 10 12 15 16 18 20 22 24 26 28 30 32 34 36]
119,0,[ 1  3  5  7  8 10 12 15 16 18 20 22 24 26 28 30 32 34 36]
130,0,[ 1  3  5  7  8 10 12 15 16 18 20 22 24 26 28 30 32 34 36]
132,0,[ 1  3  5  7  8 10 12 15 16 18 20 22 24 26 28 30 32 34 36]
134,0,[ 1  3  5  7  8 10 12 15 16 18 20 22 24 26 28 30 32 34 36]
140,0,[ 1  3  5  7  8 10 12 15 16 18 20 22 24 26 28 30 32 34 36]
144,0,[ 1  3  5  7  8 10 12 15 16 18 20 22 24 26 28 30 32 34 36]
153,0,[ 1  3  5  7  8 10 12 15 16 18 20 22 24 26 28 30 32 34 36]
155,0,[ 1  3  5  7  8 10 12 15 16 18 20 22 24 26 28 30 32 34 36]
167,0,[ 1  3  5  7  8 10 12 15 16 18 20 22 24 26 28 30 32 34 36]
193,0,[ 1  3  5  7  8 10 12 15 16 18 20 22 24 26 28 30 32 34 36]
200,0,[ 1  3  5  7  8 10 12 15 16 18 20 22 24 26 28 30 32 34 36]
